"lat","long","branch","state"
"31.2309993833"," -85.6506347178","Army","Alabama"
"31.8157331822"," -85.6497984957","Army","Alabama"
"33.1594636742"," -106.425696182","Army","New Mexico"
"37.0130203962"," -76.3043760544","Army","Virginia"
"21.3866284869"," -157.905641308","Marine Corps","Hawaii"
"21.3621462703"," -157.718266082","Marine Corps","Hawaii"
"42.0917332083"," -87.836545042","Navy","Illinois"
"27.8965304593"," -98.0434307225","Navy","Texas"
"38.6628404569"," -121.403205934","Air Force","California"
"42.7402329675"," -115.563336812","Air Force","Idaho"
"29.3567318395"," -100.782932919","Air Force","Texas"
"39.7066728959"," -104.757676168","Air Force","Colorado"
"30.0454712012"," -85.5513688862","Air Force","Florida"
"32.9398358551"," -88.5791426256","Air Force","Mississippi"
"31.4321781557"," -100.404389232","Air Force","Texas"
"61.2656445617"," -149.641025468","Air Force","Alaska"
"64.3175377667"," -146.646980929","Air Force","Alaska"
"38.1779889015"," -85.7237952525","Air Force","Kentucky"
"29.3820160313"," -98.5645372905","Air Force","Texas"
"34.9000362492"," -92.3068019391","Army","Arkansas"
"41.0800682176"," -96.3363620056","Army","Nebraska"
"60.7955330346"," -161.767465275","Army","Alaska"
"39.4547971565"," -79.6692506335","Army","West Virginia"
"32.7000190451"," -117.207088939","Navy","California"
"47.9486816236"," -97.0860532381","Air Force","North Dakota"
"21.312229301"," -158.066092323","Navy","Hawaii"
"32.26208341"," -106.075404444","Army","Texas"
"48.1997770937"," -121.925681299","Navy","Washington"
"19.7144170574"," -155.626600781","Army","Hawaii"
"34.0182119696"," -77.9732412004","Army","North Carolina"
"21.4469197196"," -158.191081477","Army","Hawaii"
"40.9543096396"," -74.5446255065","Army","New Jersey"
"38.8677348506"," -77.0793350205","Navy","Virginia"
"30.3779481049"," -89.1263993012","Navy","Mississippi"
"41.0243231993"," -113.216942448","Air Force","Utah"
"33.8888501058"," -117.258472446","Air Force","California"
"43.1138099132"," -70.814765745","Air Force","New Hampshire"
"32.890154532"," -112.728184427","Air Force","Arizona"
"40.0272120222"," -74.3752601945","Air Force","New Jersey"
"29.5294863383"," -98.2783394708","Air Force","Texas"
"32.8613917382"," -83.6056544923","Army","Georgia"
"36.2015259374"," -78.801333792","Army","North Carolina"
"46.1288264462"," -123.944346596","Army","Oregon"
"38.1853052947"," -84.9089928237","Army","Kentucky"
"22.1303466109"," -159.725349007","Navy","Hawaii"
"30.3446850234"," -87.5407700889","Navy","Alabama"
"38.9820668667"," -76.4838558469","Navy","Maryland"
"26.9825205984"," -80.1068614293","Air Force","Florida"
"33.3566628083"," -82.2372795186","Army","Georgia"
"35.0301022844"," -79.4816241675","Army","North Carolina"
"38.452267261"," -85.6060059365","Army","Indiana"
"32.484834871"," -80.7071873496","Marine Corps","South Carolina"
"36.816475644"," -76.2994222614","Navy","Virginia"
"36.9022639632"," -76.3023442266","Navy","Virginia"
"47.7233921483"," -122.714839767","Navy","Washington"
"30.6490705509"," -86.5276912145","Air Force","Florida"
"39.8174211612"," -84.0507057402","Air Force","Ohio"
"29.38670604"," -98.6180831793","Air Force","Texas"
"38.160004736"," -89.7239409546","Army","Illinois"
"36.7939679589"," -94.3642921962","Army","Missouri"
"40.4394550384"," -78.4147910881","Army","Pennsylvania"
"31.3776577083"," -92.3866852494","Army","Louisiana"
"46.608471557"," -111.971041404","Army","Montana"
"42.7681480625"," -84.5713082578","Army","Michigan"
"41.54343955"," -83.0221332784","Army","Ohio"
"35.5035184926"," -97.4701679958","Army","Oklahoma"
"38.785720474"," -97.6388622613","Army","Kansas"
"35.1875402981"," -111.741594825","Navy","Arizona"
"39.3394330115"," -118.880780116","Navy","Nevada"
"30.3910783123"," -87.6313191791","Navy","Alabama"
"32.7486743431"," -117.197008871","Navy","California"
"32.7136561362"," -117.172024897","Navy","California"
"32.8048190699"," -117.093958022","Navy","California"
"40.0256494173"," -74.5801329664","Air Force","New Jersey"
"35.3427908944"," -89.8597481799","Navy","Tennessee"
"35.0872036174"," -90.1390498645","Navy","Tennessee"
"45.8426458207"," -119.437655677","Army","Oregon"
"39.9796100871"," -82.8985258467","Army","Ohio"
"42.6609659498"," -82.8128744872","Army","Michigan"
"35.4623986207"," -108.598242168","Army","New Mexico"
"19.9692428627"," -155.719658833","Army","Hawaii"
"32.337579472"," -80.69617786","Marine Corps","South Carolina"
"38.5203611824"," -77.3647271918","Marine Corps","Virginia"
"39.8917550243"," -75.1787438843","Navy","Pennsylvania"
"41.535278318"," -71.3096354954","Navy","Rhode Island"
"40.4970086744"," -113.563257825","Air Force","Utah"
"41.128082376"," -111.991247141","Air Force","Utah"
"41.2673838021"," -80.6786812118","Air Force","Ohio"
"38.2645314897"," -121.942797537","Air Force","California"
"38.9991596818"," -104.999644284","Air Force","Colorado"
"40.6539758948"," -86.1518428016","Air Force","Indiana"
"37.4989475163"," -122.498033406","Air Force","California"
"32.3830076533"," -86.356311322","Air Force","Alabama"
"64.6741086836"," -147.060214201","Air Force","Alaska"
"40.8369889702"," -72.6434132546","Air Force","New York"
"41.5969299432"," -71.4184961614","Air Force","Rhode Island"
"40.0892143305"," -83.0674428948","Army","Ohio"
"38.9545040967"," -79.9791154099","Army","West Virginia"
"36.0173819633"," -115.200674517","Army","Nevada"
"44.4996364569"," -73.1646298114","Army","Vermont"
"32.6678869196"," -117.157059858","Navy","California"
"33.3401617984"," -116.68138499","Navy","California"
"40.2073636557"," -77.1688037409","Army","Pennsylvania"
"38.822867706"," -104.696062064","Air Force","Colorado"
"40.5270428347"," -112.411357721","Army","Utah"
"38.3171489216"," -104.33242089","Army","Colorado"
"33.1053210003"," -114.213605815","Army","Arizona"
"35.3743268559"," -116.633388332","Army","California"
"38.5411518559"," -118.654781649","Army","Nevada"
